,ano_campeonato,rodada,estadio,publico,publico_max,time_mandante,gols_mandante,time_visitante,gols_visitante,arbitro,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
2147,2020,25,Estádio Beira-Rio,0,56000,Internacional,2,Botafogo,1,Caio Max Augusto Vieira,4,6,23,19,0,0
2148,2020,30,Estádio Beira-Rio,0,56000,Internacional,4,Fortaleza,2,Rodrigo D,6,1,24,17,0,1
2149,2020,33,Estádio Beira-Rio,0,56000,Internacional,2,RB Bragantino,1,Savio Pereira Sampaio,3,7,11,12,0,0
2150,2020,4,Estádio Nabi Abi Chedid,0,13212,RB Bragantino,2,Fluminense,1,Jean Pierre Goncalves Lima,6,4,19,14,2,0
2151,2020,5,Estádio Nabi Abi Chedid,0,13212,RB Bragantino,1,Coritiba FC,2,Gilberto Rodrigues Castro Junior,10,3,17,18,1,2
2152,2020,11,Estádio Nabi Abi Chedid,0,13212,RB Bragantino,4,Ceará SC,2,Jefferson Ferreira Moraes,5,9,24,11,2,1
2153,2020,25,Estádio Nabi Abi Chedid,0,13212,RB Bragantino,2,Fortaleza,1,Héber Lopes,2,5,17,18,0,2
2154,2020,26,Estádio Nabi Abi Chedid,0,13212,RB Bragantino,0,Athletico-PR,1,Braulio da Silva Machado,17,4,8,17,6,6
2155,2020,28,Estádio Nabi Abi Chedid,0,13212,RB Bragantino,4,São Paulo,2,Luiz Flávio de Oliveira,4,5,17,4,0,3
2156,2020,35,Estádio Nabi Abi Chedid,0,13212,RB Bragantino,1,Flamengo,1,Wilton Sampaio,5,4,19,17,1,4
2157,2020,18,Estádio São Januário,0,24584,Vasco da Gama,1,Corinthians,2,Caio Max Augusto Vieira,9,6,12,18,1,2
2158,2020,25,Estádio São Januário,0,24584,Vasco da Gama,1,Fluminense,1,Rodolpho Toski Marques,4,2,21,14,1,0
2159,2020,30,Estádio São Januário,0,24584,Vasco da Gama,0,Coritiba FC,1,Flavio Rodrigues de Souza,10,2,10,13,1,0
2160,2020,36,Estádio São Januário,0,24584,Vasco da Gama,0,Internacional,2,Flavio Rodrigues de Souza,3,9,9,20,2,0
2161,2020,6,Estádio Olímpico Nilton Santos,0,46931,Botafogo,0,Internacional,2,Thiago Duarte Peixoto,5,3,14,24,2,2
2162,2020,35,Estádio Olímpico Nilton Santos,0,46931,Botafogo,2,Grêmio,5,Rodrigo D,5,2,14,18,1,1
2163,2020,19,Estádio Jornalista Mário Filho,0,78838,Flamengo,1,São Paulo,4,Caio Max Augusto Vieira,6,4,18,18,2,0
2164,2020,1,Estádio Governador Plácido Castelo,0,60326,Fortaleza,0,Athletico-PR,2,Braulio da Silva Machado,3,4,12,7,1,1
2165,2020,9,Estádio Serra Dourada,0,50049,Goiás EC,3,Coritiba FC,3,Caio Max Augusto Vieira,9,2,27,13,0,2
2166,2020,31,Estádio Serra Dourada,0,12500,Goiás EC,0,Ceará SC,4,Héber Lopes,6,1,12,10,1,0
2167,2020,16,Allianz Parque,0,43600,Palmeiras,1,Coritiba FC,3,Jefferson Ferreira Moraes,6,2,13,20,1,2
2168,2020,10,Estádio Urbano Caldeira,0,20120,Santos FC,2,São Paulo,2,Luiz Flávio de Oliveira,5,2,18,20,1,3
2169,2020,23,Estádio Urbano Caldeira,0,20120,Santos FC,4,Sport Recife,2,Wilton Sampaio,5,4,17,24,3,0
2170,2020,9,Estádio Jornalista Mário Filho,0,82238,Fluminense,1,Flamengo,2,Raphael Claus,7,6,15,16,1,2
2171,2020,31,Estádio Cícero Pompeu de Toledo,0,67428,São Paulo,1,Internacional,5,Marcelo de Lima Henrique,7,2,15,19,0,2
2172,2020,32,Neo Química Arena,0,49205,Corinthians,0,RB Bragantino,2,Bruno Arleu de Araújo,8,3,16,14,2,3
2173,2020,35,Neo Química Arena,0,49205,Corinthians,3,Athletico-PR,3,Jean Pierre Goncalves Lima,3,2,19,12,0,0
2174,2020,17,Estádio Major Antônio Couto Pereira,0,37182,Coritiba FC,1,Santos FC,2,Bruno Arleu de Araújo,9,1,18,25,1,0
