,ano_campeonato,rodada,estadio,publico,publico_max,arbitro,time_mandante,gols_mandante,time_visitante,gols_visitante,escanteios_mandante,escanteios_visitante,faltas_mandante,faltas_visitante,impedimentos_mandante,impedimentos_visitante
550,2019,15,Arena da Baixada,15644,42372,Dewson Fernando Freitas da Silva,Athletico-PR,1,Atlético-MG,0,,,,,,
551,2019,17,Arena da Baixada,10075,42372,Leandro Pedro Vuaden,Athletico-PR,1,Ceará SC,0,,,,,,
552,2019,19,Arena da Baixada,13784,42372,Felipe Fernandes,Athletico-PR,0,Avaí FC,1,,,,,,
553,2019,21,Arena da Baixada,12970,42372,Vinicius Gomes,Athletico-PR,4,Fortaleza,1,,,,,,
554,2019,28,Arena da Baixada,11819,42372,Flavio Rodrigues de Souza,Athletico-PR,4,Goiás EC,1,,,,,,
555,2019,30,Arena da Baixada,12933,42372,Savio Pereira Sampaio,Athletico-PR,1,CSA,0,,,,,,
556,2019,31,Arena da Baixada,13047,42372,Luiz Flávio de Oliveira,Athletico-PR,0,Cruzeiro,0,,,,,,
557,2019,33,Arena da Baixada,18091,42372,Braulio da Silva Machado,Athletico-PR,1,Botafogo,0,,,,,,
558,2019,35,Arena da Baixada,21709,42372,Bruno Arleu de Araújo,Athletico-PR,2,Grêmio,0,,,,,,
559,2019,37,Arena da Baixada,31988,42372,Anderson Daronco,Athletico-PR,1,Santos FC,0,,,,,,
560,2019,13,Estádio Raimundo Sampaio,13181,23018,Leandro Pedro Vuaden,Atlético-MG,2,Cruzeiro,0,,,,,,
561,2019,14,Estádio Raimundo Sampaio,19081,23018,Wilton Sampaio,Atlético-MG,2,Fluminense,1,,,,,,
562,2019,16,Estádio Raimundo Sampaio,22401,23018,Rodolpho Toski Marques,Atlético-MG,0,EC Bahia,1,,,,,,
563,2019,19,Estádio Raimundo Sampaio,18966,23018,Bruno Arleu de Araújo,Atlético-MG,1,Internacional,3,,,,,,
564,2019,21,Estádio Raimundo Sampaio,10485,23018,Héber Lopes,Atlético-MG,1,Vasco da Gama,2,,,,,,
565,2019,29,Estádio Raimundo Sampaio,19058,23018,Diego Pombo Lopez,Atlético-MG,0,Chapecoense,2,,,,,,
566,2019,31,Estádio Governador Magalhães Pinto,38937,57000,Thiago Duarte Peixoto,Atlético-MG,2,Goiás EC,0,,,,,,
